         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
57774.572690 19.038793      NaN      17.0     22 o    0     0.92 210.91067 54.31166  7902.73  3262.78 3.67 3.41  87.3 -0.423    19.28 20.84 02a57774o0747o   0x0000          -5     24.549039
57774.585373 19.063754      NaN      18.0     21 o    0     1.04 210.91067 54.31166  7925.12  3302.17 3.62 3.31  87.5 -0.432    19.32 20.87 02a57774o0771o   0x0000          -5     23.657035
57774.598083 19.351140      NaN     -10.0     22 o    0     1.10 210.91067 54.31166  7869.86  3228.44 3.58 3.29  88.6 -0.439    19.33 20.88 02a57774o0795o   0x0000          -5     24.549039
57774.610853 19.454622      NaN     -42.0     20 o    0     0.94 210.91067 54.31166  7849.43  3349.56 3.55 3.24  89.9 -0.440    19.34 20.89 02a57774o0819o   0x0000          -5     22.774006
57774.623493 19.351140      NaN      -8.0     22 o    0     0.85 210.91067 54.31166  7893.30  3290.49 3.55 3.26  86.5 -0.443    19.35 20.90 02a57774o0843o   0x0000          -5     24.549039
57794.512274 18.125925      NaN      49.0     50 o    0     1.05 210.91067 54.31166  9407.45  1050.44 3.62 3.24  83.3 -0.482    18.37 19.00 02a57794o0591o   0x0000          -5     51.172799
57794.523666 18.220396      NaN      29.0     51 o    0     0.89 210.91067 54.31166   187.69   967.20 3.98 3.73 -89.4 -0.429    18.35 19.00 02a57794o0611o   0x0000          -5     52.150315
57794.525313 18.094452      NaN      49.0     52 o    0     1.35 210.91067 54.31166  9417.88  1090.48 3.68 3.32  82.2 -0.491    18.34 19.00 02a57794o0614o   0x0000          -5     53.128668
57794.536683 18.243872      NaN     -65.0     61 o    0     0.97 210.91067 54.31166   209.86  1008.76 3.94 3.66  88.2 -0.443    18.20 18.84 02a57794o0634o   0x0000          -5     61.964952
57794.538476 16.971031      NaN    -213.0    197 o    0     1.04 210.91067 54.31166  9358.90  1017.11 3.60 3.25  85.8 -0.546    16.86 16.79 02a57794o0637o 0x400802          -5    197.300926
57794.542087 17.990970      NaN      -8.0     77 o    0     1.22 210.91067 54.31166  2498.06   506.75 3.93 3.81 -70.2 -0.669    18.26 19.26 01a57794o0644o   0x0000          -5     77.766672
57794.544733 17.909502      NaN     -36.0     83 o    0     0.99 210.91067 54.31166  3687.53 10299.08 3.45 3.36  -3.0 -0.707    18.31 19.30 01a57794o0649o  0x80000          -5     83.711739
57794.549409 18.243872      NaN    -141.0     61 o    0     1.02 210.91067 54.31166   148.11   925.32 3.95 3.63  89.7 -0.404    18.14 18.77 02a57794o0657o   0x0000          -5     61.964952
57794.551239 17.436348      NaN      92.0     96 o    0     1.16 210.91067 54.31166  9346.62  1138.02 3.66 3.25  85.7 -0.479    17.67 18.01 02a57794o0660o   0x0000          -5     96.616020
57794.554417 17.963129      NaN     -14.0     79 o    0     0.92 210.91067 54.31166  2470.79   468.24 3.90 3.75 -67.5 -0.672    18.30 19.28 01a57794o0667o   0x0000          -5     79.747447
57794.557073 18.063866      NaN    -114.0     72 o    0     1.35 210.91067 54.31166  3665.63 10259.36 3.32 3.25  10.5 -0.720    18.36 19.33 01a57794o0672o   0x0000          -5     72.819333
57794.561701 17.935984      NaN     -93.0     81 o    0     0.86 210.91067 54.31166   125.20  1043.46 3.90 3.63  89.7 -0.427    17.83 18.24 02a57794o0680o   0x0000          -5     81.729158
57794.563362 18.104842      NaN      -4.0     69 o    0     1.40 210.91067 54.31166  9382.57  1080.01 3.63 3.21  86.2 -0.499    17.97 18.32 02a57794o0683o   0x0000          -5     69.854530
57794.566749 17.935984      NaN     -16.0     81 o    0     0.97 210.91067 54.31166  2537.51   543.11 3.80 3.64 -68.6 -0.652    18.33 19.30 01a57794o0690o  0x80000          -5     81.729158
57794.569493 17.909502      NaN     -51.0     83 o    0     0.89 210.91067 54.31166  3724.48 10334.55 3.33 3.25   7.5 -0.697    18.38 19.36 01a57794o0695o   0x0000          -5     83.711739
57794.573926 16.377436      NaN      71.0    315 o    0     0.98 210.91067 54.31166   159.19   988.18 3.85 3.57  86.0 -0.448    16.48 16.20 02a57794o0703o 0x400802          -5    315.188286
57794.579025 17.896499      NaN      37.0     70 o    0     1.17 210.91067 54.31166  2554.91   423.03 3.83 3.68 -69.2 -0.651    18.33 19.32 01a57794o0713o   0x0000          -5     70.842468
57794.581760 18.158337      NaN     -13.0     66 o    0     1.37 210.91067 54.31166  3747.58 10213.97 3.36 3.25   2.1 -0.683    18.38 19.38 01a57794o0718o   0x0000          -5     66.892865
57794.591341 17.778234      NaN      42.0     78 o    0     0.99 210.91067 54.31166  2509.15   482.15 3.83 3.69 -66.1 -0.666    18.36 19.34 01a57794o0736o  0x80000          -5     78.756938
57794.594018 17.935984      NaN     -17.0     81 o    0     0.84 210.91067 54.31166  3714.73 10271.75 3.44 3.29  -2.9 -0.686    18.38 19.40 01a57794o0741o   0x0000          -5     81.729158
57798.520921 18.349730      NaN      65.0     32 o    0     1.20 210.91067 54.31166  7008.84   893.19 3.53 3.38 -77.7 -0.472    18.81 19.80 02a57798o0629o  0x80000          -5     33.803185
57798.542136 18.910912      NaN     -30.0     33 o    0     0.96 210.91067 54.31166  7032.76   934.89 3.56 3.41 -79.1 -0.457    18.83 19.81 02a57798o0668o   0x0000          -5     34.751336
57798.555288 18.944322      NaN     -28.0     32 o    0     0.88 210.91067 54.31166  6977.06   860.17 3.58 3.44 -77.0 -0.466    18.84 19.86 02a57798o0692o   0x0000          -5     33.803185
57798.561715 17.797727      NaN      55.0     72 o    0     1.40 210.91067 54.31166  3367.63  8180.86 4.06 3.63  84.2 -0.919    18.65 20.07 01a57798o0648o  0x80000          -5     72.819333
57798.568326 18.944322      NaN       1.0     30 o    0     1.21 210.91067 54.31166  6955.41   981.67 3.57 3.45 -76.5 -0.461    18.86 19.91 02a57798o0716o  0x80000          -5     31.916380
57798.574354 17.710822      NaN      75.0     73 o    0     1.14 210.91067 54.31166  3354.77  8139.96 4.14 3.70 -88.9 -0.897    18.65 20.10 01a57798o0670o  0x80000          -5     73.808233
57798.581167 19.014394      NaN     -12.0     30 o    0     1.21 210.91067 54.31166  6998.90   923.00 3.58 3.48 -82.4 -0.458    18.87 19.91 02a57798o0740o   0x0000          -5     31.916380
57798.589598 17.976960      NaN     -20.0     78 o    0     1.12 210.91067 54.31166  3409.55  8213.33 4.00 3.58 -83.5 -0.949    18.70 20.11 01a57798o0696o  0x80000          -5     78.756938
57798.604751 17.862567      NaN      48.0     69 o    0     1.31 210.91067 54.31166  3417.72  8093.10 4.20 3.77 -86.5 -0.879    18.64 20.12 01a57798o0722o  0x80000          -5     69.854530
57798.618994 17.913871      NaN      -3.0     82 o    0     0.87 210.91067 54.31166  3375.19  8149.63 4.05 3.62 -84.1 -0.935    18.70 20.15 01a57798o0748o  0x80000          -5     82.720344
57801.672938 15.888344      NaN     298.0    433 o    0     1.19 210.91067 54.31166  6371.82  3041.81 3.60 3.56   5.5 -0.802    16.85 18.00 01a57801o0797o 0x400802          -5    433.136994
57802.557770 19.169763      NaN     -26.0     26 o    0     1.03 210.91067 54.31166  7845.01  9757.61 3.27 2.96 -40.9 -0.449    19.13 20.45 02a57802o0613o   0x0000          -5     28.189632
57802.572754 18.889197      NaN      15.0     27 o    0     1.07 210.91067 54.31166  7867.38  9796.22 3.75 3.71 -63.9 -0.454    19.06 20.48 02a57802o0641o  0x80000          -5     29.114521
57802.586150 19.169763      NaN     -36.0     26 o    0     1.13 210.91067 54.31166  7810.62  9719.12 3.68 3.62 -63.3 -0.464    19.04 20.45 02a57802o0665o   0x0000          -5     28.189632
