         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57786.591848 19.401649      NaN     -6.0    21 c    0    0.94 210.91067 54.31166  8047.37    87.38 3.90 3.71  15.5 -0.449    19.68 21.79 02a57786o0560c  0x80000           0   22.634989
57786.602149 18.836735      NaN     34.0    24 c    0    1.19 210.91067 54.31166  9264.11 10008.98 3.98 3.64  85.5 -0.433    19.48 21.55 02a57786o0579c   0x0000           0   25.442931
57786.604786 19.302877      NaN    -40.0    23 c    0    0.90 210.91067 54.31166  8036.03   208.54 3.88 3.76  18.9 -0.442    19.84 21.98 02a57786o0584c  0x80000           0   24.501893
57786.615038 19.212347      NaN     21.0    18 c    0    1.00 210.91067 54.31166  9309.07  9950.26 3.95 3.59  86.1 -0.426    19.78 21.88 02a57786o0603c   0x0000           0   19.883228
57786.617646 19.454622      NaN    -10.0    20 c    0    1.02 210.91067 54.31166  8070.41   151.97 3.90 3.74  24.7 -0.449    19.84 21.99 02a57786o0608c  0x80000           0   21.710429
57806.543426 19.197966      NaN     16.0    20 c    0    0.91 210.91067 54.31166  9193.53  1304.85 3.85 3.71  60.1 -0.446    19.76 21.82 02a57806o0606c  0x80000           0   21.710429
57806.546470 19.609992      NaN      1.0    17 c    0    1.19 210.91067 54.31166  9219.80  1342.00 3.98 3.84  55.3 -0.429    19.74 21.83 02a57806o0612c  0x80000           0   18.982696
57806.563479 19.631075      NaN     -7.0    17 c    0    1.21 210.91067 54.31166  9162.34  1269.28 4.05 3.88  52.4 -0.427    19.76 21.89 02a57806o0643c  0x80000           0   18.982696
57806.577726 18.990530      NaN     29.0    21 c    0    0.90 210.91067 54.31166  9141.96  1388.43 3.91 3.72  65.1 -0.441    19.76 21.84 02a57806o0669c  0x80000           0   22.634989
57806.591596 19.014394      NaN     33.0    19 c    0    1.00 210.91067 54.31166  9192.04  1327.73 3.91 3.71  60.9 -0.439    19.72 21.75 02a57806o0695c   0x0000           0   20.792853
57834.492888 19.155932      NaN     22.0    19 c    0    0.92 210.91067 54.31166  8094.05  3373.17 3.99 3.71  87.7 -0.381    19.07 21.15 02a57834o0443c  0x80000           0   20.792853
57834.503330 19.454622      NaN    -20.0    20 c    0    1.17 210.91067 54.31166  2388.48  7038.09 3.82 3.69  44.8 -0.427    19.11 21.19 02a57834o0463c   0x0000           0   21.710429
