sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
        15        18.58     134.41        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.58     134.41        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.58     134.41        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.58     134.41       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71         2             NaN        74.244186              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71         5             NaN        94.885208              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.21     188.71       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95         2             NaN        78.753541              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95         5             NaN        97.659817              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.84     264.95       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99         2             NaN        83.403185              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99         5             NaN        98.291085              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.47     371.99       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27         2             NaN        85.539359              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27         5             NaN        98.910615              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        17.11     522.27       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27         2             NaN        87.929565              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27         5             NaN        99.455743              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.74     733.27       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
