sigma_kern  peak_appmag  peak_flux sigma_sim
       130        20.05      34.59        20
       130        20.05      34.59        40
       130        20.05      34.59        80
       130        20.05      34.59       110
       130        20.05      34.59       150
       130        20.05      34.59       200
       130        20.05      34.59       250
       130        20.05      34.59       300
       130        19.68      48.56        20
       130        19.68      48.56        40
       130        19.68      48.56        80
       130        19.68      48.56       110
       130        19.68      48.56       150
       130        19.68      48.56       200
       130        19.68      48.56       250
       130        19.68      48.56       300
       130        19.32      68.18        20
       130        19.32      68.18        40
       130        19.32      68.18        80
       130        19.32      68.18       110
       130        19.32      68.18       150
       130        19.32      68.18       200
       130        19.32      68.18       250
       130        19.32      68.18       300
       130        18.95      95.73        20
       130        18.95      95.73        40
       130        18.95      95.73        80
       130        18.95      95.73       110
       130        18.95      95.73       150
       130        18.95      95.73       200
       130        18.95      95.73       250
       130        18.95      95.73       300
       130        18.58     134.41        20
       130        18.58     134.41        40
       130        18.58     134.41        80
       130        18.58     134.41       110
       130        18.58     134.41       150
       130        18.58     134.41       200
       130        18.58     134.41       250
       130        18.58     134.41       300
       130        18.21     188.71        20
       130        18.21     188.71        40
       130        18.21     188.71        80
       130        18.21     188.71       110
       130        18.21     188.71       150
       130        18.21     188.71       200
       130        18.21     188.71       250
       130        18.21     188.71       300
       130        17.84     264.95        20
       130        17.84     264.95        40
       130        17.84     264.95        80
       130        17.84     264.95       110
       130        17.84     264.95       150
       130        17.84     264.95       200
       130        17.84     264.95       250
       130        17.84     264.95       300
       130        17.47     371.99        20
       130        17.47     371.99        40
       130        17.47     371.99        80
       130        17.47     371.99       110
       130        17.47     371.99       150
       130        17.47     371.99       200
       130        17.47     371.99       250
       130        17.47     371.99       300
       130        17.11     522.27        20
       130        17.11     522.27        40
       130        17.11     522.27        80
       130        17.11     522.27       110
       130        17.11     522.27       150
       130        17.11     522.27       200
       130        17.11     522.27       250
       130        17.11     522.27       300
       130        16.74     733.27        20
       130        16.74     733.27        40
       130        16.74     733.27        80
       130        16.74     733.27       110
       130        16.74     733.27       150
       130        16.74     733.27       200
       130        16.74     733.27       250
       130        16.74     733.27       300
       130        16.37    1029.51        20
       130        16.37    1029.51        40
       130        16.37    1029.51        80
       130        16.37    1029.51       110
       130        16.37    1029.51       150
       130        16.37    1029.51       200
       130        16.37    1029.51       250
       130        16.37    1029.51       300
       130        16.00    1445.44        20
       130        16.00    1445.44        40
       130        16.00    1445.44        80
       130        16.00    1445.44       110
       130        16.00    1445.44       150
       130        16.00    1445.44       200
       130        16.00    1445.44       250
       130        16.00    1445.44       300
       200        23.00       2.29        20
       200        23.00       2.29        40
       200        23.00       2.29        80
       200        23.00       2.29       110
       200        23.00       2.29       150
       200        23.00       2.29       200
       200        23.00       2.29       250
       200        23.00       2.29       300
       200        22.63       3.22        20
       200        22.63       3.22        40
       200        22.63       3.22        80
       200        22.63       3.22       110
       200        22.63       3.22       150
       200        22.63       3.22       200
       200        22.63       3.22       250
       200        22.63       3.22       300
       200        22.26       4.52        20
       200        22.26       4.52        40
       200        22.26       4.52        80
       200        22.26       4.52       110
       200        22.26       4.52       150
       200        22.26       4.52       200
       200        22.26       4.52       250
       200        22.26       4.52       300
       200        21.89       6.34        20
       200        21.89       6.34        40
